,p,rho,Method,Estimator&Signal,Average MSE
79,50,0.5,BIC,Adaptive Lasso Sparse,0.1513573184200302
80,50,0.5,LOO-CV,Adaptive Lasso Sparse,0.0795563497681952
81,10,0.0,AIC,Adaptive Lasso Dense,0.0687630758276579
82,10,0.0,BIC,Adaptive Lasso Dense,0.0694655063810537
83,10,0.0,LOO-CV,Adaptive Lasso Dense,0.0686357613215657
84,10,0.25,AIC,Adaptive Lasso Dense,0.0924941375632581
85,10,0.25,BIC,Adaptive Lasso Dense,0.0935768741424912
86,10,0.25,LOO-CV,Adaptive Lasso Dense,0.0922574269800926
87,10,0.5,AIC,Adaptive Lasso Dense,0.1299019583980032
88,10,0.5,BIC,Adaptive Lasso Dense,0.1317102865915802
89,10,0.5,LOO-CV,Adaptive Lasso Dense,0.1293020139482632
90,25,0.0,AIC,Adaptive Lasso Dense,0.0622437210901415
91,25,0.0,BIC,Adaptive Lasso Dense,0.0770759236699925
92,25,0.0,LOO-CV,Adaptive Lasso Dense,0.0594362948414118
93,25,0.25,AIC,Adaptive Lasso Dense,0.085660237992829
94,25,0.25,BIC,Adaptive Lasso Dense,0.10210454171644
95,25,0.25,LOO-CV,Adaptive Lasso Dense,0.0808504686138913
96,25,0.5,AIC,Adaptive Lasso Dense,0.1248683636609508
97,25,0.5,BIC,Adaptive Lasso Dense,0.1416718417873101
98,25,0.5,LOO-CV,Adaptive Lasso Dense,0.1171736927493566
99,50,0.0,AIC,Adaptive Lasso Dense,0.0543336750338848
100,50,0.0,BIC,Adaptive Lasso Dense,0.086659102931987
101,50,0.0,LOO-CV,Adaptive Lasso Dense,0.0409932773676472
102,50,0.25,AIC,Adaptive Lasso Dense,0.0772986309104647
103,50,0.25,BIC,Adaptive Lasso Dense,0.1172592238521883
104,50,0.25,LOO-CV,Adaptive Lasso Dense,0.0570465971484781
105,50,0.5,AIC,Adaptive Lasso Dense,0.1107938067225318
106,50,0.5,BIC,Adaptive Lasso Dense,0.156036596010515
107,50,0.5,LOO-CV,Adaptive Lasso Dense,0.0814171955540164
108,10,0.0,AIC,Ridge Sparse,0.0283564923570295
109,10,0.0,BIC,Ridge Sparse,0.0283566574647145
110,10,0.25,AIC,Ridge Sparse,0.0410356099438215
111,10,0.25,BIC,Ridge Sparse,0.0410364707722439
112,10,0.5,AIC,Ridge Sparse,0.0582184015327518
113,10,0.5,BIC,Ridge Sparse,0.0582276170651652
114,25,0.0,AIC,Ridge Sparse,0.0352539205531387
115,25,0.0,BIC,Ridge Sparse,0.0352564612501253
116,25,0.25,AIC,Ridge Sparse,0.0537684731960561
117,25,0.25,BIC,Ridge Sparse,0.0537813294034544
118,25,0.5,AIC,Ridge Sparse,0.0829644829394233
119,25,0.5,BIC,Ridge Sparse,0.0830640125151847
120,50,0.0,AIC,Ridge Sparse,0.0310860395548136
121,50,0.0,BIC,Ridge Sparse,0.0311174724790039
122,50,0.25,AIC,Ridge Sparse,0.0481401554547151
123,50,0.25,BIC,Ridge Sparse,0.048245817684643
124,50,0.5,AIC,Ridge Sparse,0.0776246111437544
125,50,0.5,BIC,Ridge Sparse,0.0780918850280367
126,10,0.0,LOO-CV,Ridge Sparse,0.0284085114435361
127,10,0.25,LOO-CV,Ridge Sparse,0.0406762556327605
128,10,0.5,LOO-CV,Ridge Sparse,0.0583160675443559
129,25,0.0,LOO-CV,Ridge Sparse,0.0356154408793501
130,25,0.25,LOO-CV,Ridge Sparse,0.053443078484835
